phi,mean_impact_bps,sem_iid,n,regime,granularity,variant,method,seed,primary
0.25,0.24813116528433196,0.2419907056218713,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.30000000000000004,0.3280183763851236,0.2434091431168109,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.35000000000000003,0.3596397464687985,0.24402259236782334,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.4,0.451057833735291,0.24704413708600406,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.45,0.5065694805964316,0.24937869101238624,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.5,0.606955634499385,0.25501463140703146,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.55,0.6176679686056828,0.25914386793264765,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.6000000000000001,0.7451601811918623,0.27302048417289454,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.65,0.7718090376738785,0.27885037878064345,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.7000000000000001,0.8605723291505355,0.2823296403782656,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.75,0.9122647985991955,0.2885302996112249,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.8,1.013757682260561,0.2885654252195306,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.8500000000000001,1.0787443316936483,0.29239151028924715,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.9,1.1546205017724893,0.2988505226468499,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.9500000000000001,1.2821657464544411,0.3066150714827423,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
1.0,1.5283629771728435,0.3666784017464421,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.0,0.0,0.0,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.05,0.4197951493380083,0.32607740165169186,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.1,0.14745411529612534,0.3492623371647677,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.15000000000000002,0.3462818136604378,0.39450185186114145,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.2,0.4589873779261411,0.45526749127396887,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.25,0.5237336936931424,0.48045999971445386,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.30000000000000004,0.5520515881905298,0.4945472868411196,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.35000000000000003,0.6348164058608798,0.5060994997995698,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.4,0.7252070639156182,0.5156650471771234,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.45,0.832520815897311,0.5277617846636089,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.5,0.8828589431641808,0.5393406872920581,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.55,0.937417689797928,0.5512854452265483,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.6000000000000001,1.0145843920756852,0.5597217389946043,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.65,1.0828822514360177,0.5678139303400775,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.7000000000000001,1.127643656195398,0.5757239975313674,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.75,1.193340485510617,0.5900936856701883,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.8,1.2159400004574787,0.6058686551426223,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.8500000000000001,1.3199278955319824,0.6209861862938566,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.9,1.288474102123309,0.6575404414549844,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.9500000000000001,1.5633602472268209,0.7015054141265109,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
1.0,1.7739049024355762,0.8896701856409166,80,normal,aggressive,threshold_wait20s,time_threshold,7,False
0.0,0.0,0.0,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.05,-0.20856096510187327,0.19983829036072576,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.1,-0.05772677504937658,0.25358482445760105,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.15000000000000002,-0.09019667060096782,0.30234122497673904,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.2,-0.06985266439732403,0.3352660803001003,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.25,0.13187992526173697,0.3726213888469667,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.30000000000000004,0.24593873933658425,0.3761906951559464,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
0.35000000000000003,0.2839486895356076,0.38825207967281755,88,normal,aggressive,threshold_wait20s,time_threshold,23,False
