regime,granularity,variant,method,seed,primary,date,n,mean_impact_bps,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-19,699,0.5975676666110905,0.307,0.16827657215840106,0.8695401392934495,0.8829281139205221,False,11
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-20,1442,0.8227240052528064,0.11199999999999999,0.009328974909562662,0.3958840637247214,0.45813498002578046,False,13
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-21,1420,0.6809687381247888,0.14100000000000001,0.011428993231308289,0.45433765975503404,0.571699006628746,False,14
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-22,1412,0.6581639647509153,0.14700000000000002,0.017578369114649883,0.4656909892053803,0.5710946442506787,False,13
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-23,1357,0.6146726937102174,0.09599999999999997,0.007124946673169358,0.3014553131946378,0.32860746817070763,False,13
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-24,1343,0.549617725432876,0.15699999999999997,0.008588863559543521,0.2596514919709725,0.36327227645450544,False,13
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-18,789,0.23763119045320213,0.5369999999999999,0.6053660827314411,0.8447515822266347,0.635149252469239,False,11
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-19,712,0.5767376122792938,0.337,0.22737107377845528,0.9136058551591576,0.9159638559886465,False,11
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-20,1454,0.8619905525283744,0.16599999999999998,0.017283874502519468,0.48643097007066793,0.5532935322375575,False,13
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-21,1326,0.7001163580663385,0.09299999999999997,0.006061741541596138,0.15550892273413253,0.2517932734880588,False,15
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-22,1373,0.8308232691973891,0.09599999999999997,0.012756869241934157,0.3981217878610023,0.47449438946195344,False,13
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-23,1365,0.6512154251455965,0.138,0.013014548142197,0.7271322847250767,0.7522668777028543,False,13
normal,aggressive,threshold_wait5s,time_threshold,23,True,2026-07-24,1382,0.5335192045042184,0.16799999999999998,0.010983398329626482,0.39100858380991876,0.4606933912394163,False,13
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-18,810,0.30792302048008696,0.326,0.07794145821180085,0.9143564859567852,0.9055875108688203,False,11
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-19,725,0.5685709399971637,0.37400000000000005,0.33263210948952776,0.8779140333208947,0.9236882072518166,False,10
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-20,1439,0.909215135164809,0.139,0.014034622736846953,0.6637168341490772,0.7176888541314982,False,14
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-21,1337,0.6681202613264419,0.132,0.009932855713418502,0.36021081270783606,0.4654900664864452,False,14
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-22,1391,0.6490845121534587,0.011999999999999983,0.003457601300392236,0.003451264026801071,0.004905750680305188,False,13
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-23,1318,0.6874969414415137,0.063,0.005710112925816474,0.1303772512279172,0.1497032227454732,False,13
normal,aggressive,threshold_wait5s,time_threshold,71,True,2026-07-24,1373,0.6408941635257931,0.059,0.003569037349988186,0.0674367093815833,0.09658902413963266,False,13
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-18,591,0.24602792230293774,0.31,0.053086268597019814,0.3422332638482205,0.3934007955077362,False,10
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-19,520,0.5941418045695389,0.328,0.19324569542924705,0.3528732094147212,0.35245747943660055,False,10
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-20,847,0.9538751682892457,-0.03,0.0016702840839260286,0.005772223112735397,0.00974470568723429,False,12
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-21,890,0.5706480055995914,0.15199999999999997,0.012317580713629381,0.16046703314000488,0.16945403903896206,False,14
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-22,907,0.6042086261947537,0.07,0.005252433608769628,0.02223604068114471,0.0449443276114333,False,11
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-23,799,0.5853396007729234,0.39499999999999996,0.2128135671059402,0.6743112049581304,0.5025700576940741,False,11
normal,aggressive,threshold_wait20s,time_threshold,7,False,2026-07-24,867,0.6407477450630384,0.21200000000000002,0.022340401888576625,0.41450974477314206,0.5736950056362156,False,11
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-18,578,0.31708101971121505,0.22099999999999997,0.024279114483442915,0.2566522302154608,0.24632962811944437,False,10
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-19,555,0.5256055895047195,0.182,0.03447817750040444,0.19381967219409246,0.25593160825755656,False,11
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-20,846,0.9817120748654911,0.129,0.014298894590683188,0.33146767383092157,0.31540008504718287,False,12
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-21,820,0.6396359246089438,0.132,0.01108603855647046,0.15577188968724665,0.1504567842375939,False,12
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-22,889,0.7713682620121701,0.182,0.03195620100416837,0.41211276285428056,0.5541307724579068,False,11
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-23,800,0.7621805766124382,0.122,0.010403508458644541,0.13295016250801373,0.21360077848095493,False,12
normal,aggressive,threshold_wait20s,time_threshold,23,False,2026-07-24,871,0.610617128857118,0.245,0.03405222960443386,0.5762292981802366,0.45131335542593465,False,11
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-18,614,0.2800007328472825,0.21000000000000002,0.017497580442742373,0.15577697736121243,0.1918049482043992,False,11
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-19,528,0.4922604097326294,0.454,0.6526844460320498,0.6826174498539983,0.8923904196827732,False,10
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-20,841,0.8921852123993427,0.15499999999999997,0.017183795590902284,0.17421737479599686,0.17420123213750582,False,12
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-21,852,0.555994738286339,0.136,0.00838972557233673,0.14923118924858936,0.1995070661554197,False,13
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-22,917,0.8113535905601404,0.126,0.019477883850598947,0.37068806777899355,0.40322709200339735,False,11
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-23,818,0.5374372487923127,0.05199999999999999,0.00382049516670911,0.022877060621825596,0.01611260756282029,False,11
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-24,835,0.5250307755327706,0.22599999999999998,0.019514421519912045,0.28459045539811156,0.4504550166776412,False,11
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-18,1660,0.44451613826084707,0.252,0.04468609079072157,0.8692310447129499,0.9019373603115795,False,14
