clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,3.0,1.4563613146732173,1.033688787155843,0.8731353351125792,1.4088972742756962,1.6679674457172653,0.033996243053498625,35747,35831,normal,aggressive,random_n6,random_traders,71,True
seconds,0.1,2.3001524974775363,1.173141493286006,1.0441969143323144,1.960677813069877,2.202795723590422,0.034095265943078074,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,1.0,2.421910038643471,1.2352412122476322,1.0994710098201508,1.960677813069877,2.202795723590422,0.03487702638034173,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,5.0,2.4697739629804514,1.2596531396014887,1.1211997265705924,1.960677813069877,2.202795723590422,0.035601641712597394,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,15.0,2.4054484584055293,1.226845350302233,1.0919979699637314,1.960677813069877,2.202795723590422,0.03674723046705058,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,30.0,2.261535285651996,1.153445645468421,1.0266659143344588,1.960677813069877,2.202795723590422,0.03830895458076639,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,60.0,2.046437006053189,1.043739564150541,0.9290180583416162,1.960677813069877,2.202795723590422,0.041641707733075434,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,180.0,1.706399955480711,0.8703112485416268,0.7746519285498629,1.960677813069877,2.202795723590422,0.053641513423812015,37442,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,600.0,1.5780767124060289,0.8048628397213303,0.7163972108289101,1.960677813069877,2.202795723590422,0.0801371000195664,37442,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.0,1.9547470715060675,1.0,0.8897645796452388,1.9547470715060675,2.196926149033098,0.03345359173963399,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.0833333333333333,2.37181517728826,1.213361673160536,1.0796062390773278,1.9547470715060675,2.196926149033098,0.035988146177527644,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.1666666666666667,2.299401336307698,1.1763165525737742,1.0466448029305406,1.9547470715060675,2.196926149033098,0.037020604522724106,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,1.25,2.2397344180220475,1.1457924407050815,1.019485529364649,1.9547470715060675,2.196926149033098,0.038135159427861276,37483,37719,normal,aggressive,random_n20,random_traders,7,False
