regime,granularity,variant,method,seed,primary,date,input_rows,assigned_rows,all_groups,groups_ge2,measured_parents,assigned_share
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-21,25273,11260,10215,852,852,0.4455347604162545
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-22,24511,11281,10125,917,917,0.4602423401737995
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-23,25169,10941,9908,819,818,0.434701418411538
normal,aggressive,threshold_wait20s,time_threshold,71,False,2026-07-24,25788,10837,9798,835,835,0.42023421746548784
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-18,16189,15593,12333,1660,1660,0.9631848786212861
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-19,15177,14660,11181,1557,1557,0.9659352968307308
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-20,29595,27600,16836,3992,3992,0.9325899645210339
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-21,25273,23802,16732,3263,3263,0.9417955921338979
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-22,24511,23114,16588,3561,3561,0.9430051813471503
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-23,25169,23728,16135,3578,3578,0.9427470300766816
normal,aggressive,local_run_1s,local_runs,7,True,2026-07-24,25788,23770,16278,3644,3644,0.9217465487823794
normal,fill,random_n6,random_traders,7,True,2026-07-18,30739,30739,10297,6221,6221,1.0
normal,fill,random_n6,random_traders,7,True,2026-07-19,32158,32158,10283,6347,6346,1.0
normal,fill,random_n6,random_traders,7,True,2026-07-20,63802,63802,18839,11861,11859,1.0
normal,fill,random_n6,random_traders,7,True,2026-07-21,55837,55837,17906,11204,11204,1.0
normal,fill,random_n6,random_traders,7,True,2026-07-22,54423,54423,18144,11181,11179,1.0
normal,fill,random_n6,random_traders,7,True,2026-07-23,52016,52016,16969,10514,10513,1.0
normal,fill,random_n6,random_traders,7,True,2026-07-24,52273,52273,17911,10901,10901,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-18,30739,30739,10357,6160,6160,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-19,32158,32158,10282,6382,6381,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-20,63802,63802,18856,11913,11911,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-21,55837,55837,18063,11248,11247,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-22,54423,54423,18184,11190,11188,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-23,52016,52016,17125,10587,10587,1.0
normal,fill,random_n6,random_traders,23,True,2026-07-24,52273,52273,17903,10869,10869,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-18,30739,30739,10316,6217,6216,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-19,32158,32158,10356,6380,6380,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-20,63802,63802,18789,11877,11876,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-21,55837,55837,17912,11100,11099,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-22,54423,54423,18168,11170,11167,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-23,52016,52016,17255,10556,10555,1.0
normal,fill,random_n6,random_traders,71,True,2026-07-24,52273,52273,17845,10822,10822,1.0
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-18,30739,18396,17251,937,937,0.5984579849702333
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-19,32158,18830,17753,885,885,0.585546364823683
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-20,63802,25434,23240,1685,1685,0.39863954108021693
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-21,55837,25295,23169,1669,1669,0.4530150258788975
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-22,54423,26117,24043,1662,1661,0.4798890175109788
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-23,52016,24340,22299,1619,1619,0.4679329437096278
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-24,52273,24179,22132,1568,1568,0.4625523692919863
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-18,30739,18305,17081,1003,1003,0.5954975763687823
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-19,32158,18928,17824,898,898,0.588593818023509
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-20,63802,25598,23329,1743,1743,0.40120999341713426
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-21,55837,25291,23074,1731,1731,0.45294338879237783
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-22,54423,25792,23650,1688,1687,0.4739172776215938
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-23,52016,23952,21970,1540,1540,0.46047370039987695
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-24,52273,24261,22129,1605,1605,0.4641210567597039
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-18,30739,18375,17202,990,990,0.5977748137545138
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-19,32158,19232,18201,875,875,0.5980471422352136
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-20,63802,25514,23265,1697,1697,0.3998934202689571
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-21,55837,25433,23250,1730,1730,0.45548650536382684
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-22,54423,26014,23775,1732,1731,0.47799643533065067
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-23,52016,23943,21843,1621,1621,0.46030067671485697
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-24,52273,24442,22375,1590,1590,0.4675836473896658
stress,aggressive,random_n6,random_traders,7,True,2026-07-26,17336,17336,6740,3577,3576,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-07-27,28142,28142,11814,6328,6328,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-07-28,28439,28439,12368,6540,6539,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-07-29,32943,32943,13675,7392,7392,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-07-30,23664,23664,10164,5370,5370,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-07-31,29481,29481,11708,6240,6239,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-08-01,17093,17093,6803,3527,3526,1.0
stress,aggressive,random_n6,random_traders,7,True,2026-08-02,18835,18835,7876,4055,4054,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-07-26,17336,17336,6736,3514,3513,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-07-27,28142,28142,11839,6394,6393,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-07-28,28439,28439,12298,6494,6493,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-07-29,32943,32943,13738,7447,7446,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-07-30,23664,23664,10112,5340,5339,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-07-31,29481,29481,11574,6249,6248,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-08-01,17093,17093,6847,3528,3527,1.0
stress,aggressive,random_n6,random_traders,23,True,2026-08-02,18835,18835,7773,4109,4109,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-07-26,17336,17336,6736,3558,3558,1.0
stress,aggressive,random_n6,random_traders,71,True,2026-07-27,28142,28142,11817,6337,6337,1.0
