phi,normalised_impact,sem_iid,n,regime,variant,method,seed
0.1,0.000210607,0.00164881,490,normal,maitrier_threshold,time_threshold,71
0.15,-0.000753671,0.00217915,490,normal,maitrier_threshold,time_threshold,71
0.2,-0.000452285,0.00229764,490,normal,maitrier_threshold,time_threshold,71
0.25,0.000400185,0.00232266,490,normal,maitrier_threshold,time_threshold,71
0.3,0.00152342,0.00234849,490,normal,maitrier_threshold,time_threshold,71
0.35,0.00252064,0.00236782,490,normal,maitrier_threshold,time_threshold,71
0.4,0.00385236,0.00240563,490,normal,maitrier_threshold,time_threshold,71
0.45,0.00488612,0.00244969,490,normal,maitrier_threshold,time_threshold,71
0.5,0.00664056,0.00253954,490,normal,maitrier_threshold,time_threshold,71
0.55,0.00802594,0.00264904,490,normal,maitrier_threshold,time_threshold,71
0.6,0.00947828,0.00275021,490,normal,maitrier_threshold,time_threshold,71
0.65,0.0106847,0.00283992,490,normal,maitrier_threshold,time_threshold,71
0.7,0.0123355,0.00290556,490,normal,maitrier_threshold,time_threshold,71
0.75,0.0125665,0.00306078,490,normal,maitrier_threshold,time_threshold,71
0.8,0.0138361,0.00314292,490,normal,maitrier_threshold,time_threshold,71
0.85,0.0151543,0.00323208,490,normal,maitrier_threshold,time_threshold,71
0.9,0.0165985,0.00331764,490,normal,maitrier_threshold,time_threshold,71
0.95,0.0189825,0.00347316,490,normal,maitrier_threshold,time_threshold,71
1,0.0255304,0.00400071,490,normal,maitrier_threshold,time_threshold,71
0.05,0.00218398,0.000133825,4589,stress,current_run,local_runs,7
0.1,0.00342451,0.000173729,4589,stress,current_run,local_runs,7
0.15,0.00430748,0.000196309,4589,stress,current_run,local_runs,7
0.2,0.00522408,0.000217313,4589,stress,current_run,local_runs,7
0.25,0.00601259,0.000236078,4589,stress,current_run,local_runs,7
0.3,0.0068045,0.000254962,4589,stress,current_run,local_runs,7
0.35,0.007611,0.00027104,4589,stress,current_run,local_runs,7
0.4,0.00839214,0.00028732,4589,stress,current_run,local_runs,7
0.45,0.0093132,0.00030659,4589,stress,current_run,local_runs,7
0.5,0.0102275,0.000320971,4589,stress,current_run,local_runs,7
0.55,0.0110925,0.000334141,4589,stress,current_run,local_runs,7
0.6,0.0120495,0.000348809,4589,stress,current_run,local_runs,7
0.65,0.0129523,0.00036421,4589,stress,current_run,local_runs,7
0.7,0.0140449,0.000382912,4589,stress,current_run,local_runs,7
0.75,0.0151487,0.000401051,4589,stress,current_run,local_runs,7
0.8,0.0164015,0.000420705,4589,stress,current_run,local_runs,7
0.85,0.0179297,0.000442334,4589,stress,current_run,local_runs,7
0.9,0.0198431,0.000470922,4589,stress,current_run,local_runs,7
0.95,0.0223428,0.000503473,4589,stress,current_run,local_runs,7
