bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0.275,0.276,200,1.0543,0.0932579,8
0.276,0.277,199,1.02271,0.124172,8
0.277,0.278,204,1.11055,0.159553,8
0.278,0.279,192,1.02915,0.1596,8
0.279,0.28,192,0.987203,0.0556362,8
0.28,0.281,175,0.894244,0.0675787,8
0.281,0.282,217,1.12612,0.15141,8
0.282,0.283,257,1.28855,0.122699,8
0.283,0.284,223,1.13982,0.16072,8
0.284,0.285,192,0.989757,0.117942,8
0.285,0.286,201,1.03469,0.0966811,8
0.286,0.287,221,1.11075,0.0784493,8
0.287,0.288,220,1.13237,0.0803429,8
0.288,0.289,220,1.15212,0.111271,8
0.289,0.29,234,1.21017,0.102265,8
0.29,0.291,215,1.08645,0.072353,8
0.291,0.292,220,1.12024,0.133809,8
0.292,0.293,202,1.02462,0.0486771,8
0.293,0.294,204,1.05653,0.0722862,8
0.294,0.295,116,0.570968,0.0570951,8
0.295,0.296,169,0.842235,0.131196,8
0.296,0.297,255,1.35196,0.100134,8
0.297,0.298,180,0.935736,0.0703846,8
0.298,0.299,203,1.05394,0.0979736,8
0.299,0.3,202,1.05657,0.123954,8
0.3,0.301,208,1.07202,0.110954,8
0.301,0.302,192,1.00437,0.0839434,8
0.302,0.303,180,0.929464,0.117443,8
0.303,0.304,190,0.964274,0.0871306,8
0.304,0.305,195,1.01159,0.0873617,8
0.305,0.306,186,0.972109,0.120438,8
0.306,0.307,171,0.922888,0.143259,8
0.307,0.308,193,1.02548,0.116974,8
0.308,0.309,210,1.08637,0.123851,8
0.309,0.31,209,1.10362,0.170398,8
0.31,0.311,187,1.01702,0.11438,8
0.311,0.312,202,1.11191,0.243759,8
0.312,0.313,188,0.999614,0.157517,8
0.313,0.314,215,1.14111,0.16227,8
0.314,0.315,251,1.31953,0.105627,8
0.315,0.316,296,1.48263,0.161736,8
0.316,0.317,180,0.922345,0.116762,8
0.317,0.318,155,0.768478,0.153181,8
0.318,0.319,333,1.76936,0.221209,8
0.319,0.32,224,1.16055,0.0730947,8
