regime,granularity,variant,method,seed,primary,n_parents,median_children,median_duration_s,median_q_btc,median_participation,positive_share,mean_impact_bps,mean_100ms_bps,median_end_price_delay_s,trajectory_half,positive_only_delta,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
normal,fill,threshold_wait5s,time_threshold,23,True,10207,2.0,7.176588,0.0017464400000000001,0.15543187229828248,0.5073968844910356,0.6858495731619066,0.7242865689891574,2.582128,0.4323910457145974,0.08600000000000002,0.16299999999999998,0.021606769913074687,0.6949162961067428,0.6039172473627987,False,15
normal,fill,threshold_wait5s,time_threshold,71,True,10234,2.0,7.1085615,0.00174964,0.15373911388688116,0.5263826460816885,0.7381921122286617,0.7784908780096086,2.429753,0.5260208235267699,0.07400000000000001,0.08300000000000002,0.008970135435705559,0.3229493227464386,0.3262104495034842,False,15
stress,aggressive,random_n6,random_traders,7,True,43024,3.0,27.6981245,0.013675145,0.22052270141955319,0.65686593529193,1.886028072935501,1.9614469470127516,1.8931339999999999,0.4626827481899279,0.14800000000000002,0.22699999999999998,0.08330109582830438,0.9340992172444976,0.809590706958858,False,19
stress,aggressive,random_n6,random_traders,23,True,43068,3.0,27.671389,0.0137591,0.2160324811735947,0.6565895792699916,1.8653191638490827,1.9435127719614451,1.8774125000000002,0.46944752172901116,0.134,0.20400000000000001,0.06761503300945955,0.9824807762353339,0.9144860857549226,False,19
stress,aggressive,random_n6,random_traders,71,True,43155,3.0,27.856708,0.013642020000000001,0.21852470486005496,0.6587880894450238,1.8750951459102296,1.949928286308874,1.883197,0.46229081826045215,0.14900000000000002,0.20900000000000002,0.07097166532451549,0.9780924588549235,0.888043685186902,False,19
stress,aggressive,random_n20,random_traders,7,False,44968,3.0,90.0004215,0.014132735,0.036549170619666504,0.6343399750933998,2.405696626511169,2.501382431698778,1.719634,0.48857841344599556,0.15399999999999997,0.273,0.16905250671530384,0.984659243218654,0.8022226110816801,False,19
stress,aggressive,random_n20,random_traders,23,False,45068,3.0,90.06735900000001,0.014168235000000001,0.03676042756049623,0.634374722641342,2.3975672435311717,2.4974955025598056,1.7254654999999999,0.49708077050279814,0.15199999999999997,0.253,0.14151489147660737,0.9858984120661909,0.8496426647832127,False,19
stress,aggressive,random_n20,random_traders,71,False,45214,3.0,88.832872,0.014101935,0.03773324727232778,0.6391383199893839,2.4202092771038823,2.5172730281225237,1.70451,0.4679826486859413,0.134,0.22599999999999998,0.11393140159749808,0.9606963424771786,0.8571990178019246,False,19
stress,aggressive,threshold_wait5s,time_threshold,7,True,9981,2.0,6.75343,0.00582835,0.7513492681802272,0.5400260494940387,0.7681846943068574,0.8167601967081097,2.154687,0.4540626242964908,0.08899999999999997,0.15699999999999997,0.017141015309567735,0.8149800266246702,0.911856301980252,False,17
stress,aggressive,threshold_wait5s,time_threshold,23,True,10204,2.0,6.6782675000000005,0.005861555,0.7641288906487504,0.5343002744021952,0.7097411871235471,0.7644635998461121,2.2133655,0.39822266896315556,0.07700000000000001,0.11199999999999999,0.010240670649763538,0.5798781954250481,0.6617483023126213,False,16
stress,aggressive,threshold_wait5s,time_threshold,71,True,10183,2.0,6.720828,0.00609357,0.7640670691166331,0.5381518216635569,0.7515304515489475,0.7943004557857847,2.153728,0.26012017889446176,0.09099999999999997,0.14500000000000002,0.015023920341436087,0.7680280131130293,0.8815780759341153,False,17
