clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,2.583333333333333,0.7572309197030244,1.199076367801168,0.03352292117038076,8462,8467,normal,aggressive,threshold_wait5s,time_threshold,7,True
z,2.6666666666666665,0.7614173049926712,1.205705515577245,0.034089494118914876,8462,8467,normal,aggressive,threshold_wait5s,time_threshold,7,True
z,2.75,0.7620708130375098,1.2067403466074427,0.03440309023431631,8462,8467,normal,aggressive,threshold_wait5s,time_threshold,7,True
z,2.833333333333333,0.766787391033133,1.214209055378158,0.0347420780908115,8462,8467,normal,aggressive,threshold_wait5s,time_threshold,7,True
z,2.9166666666666665,0.762727267103434,1.2077798426667232,0.03527924916682503,8462,8467,normal,aggressive,threshold_wait5s,time_threshold,7,True
z,3.0,0.7637775999340398,1.209443046377421,0.035968087231981145,8462,8467,normal,aggressive,threshold_wait5s,time_threshold,7,True
seconds,0.1,0.6992802127819497,1.0590125988799937,0.023378548295986155,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,1.0,0.742612568374045,1.124636521411155,0.02479880200479058,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,5.0,0.778194089433236,1.1785223291320535,0.027618870783505153,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,15.0,0.7597905408694822,1.1506513992288898,0.03389482144876538,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,30.0,0.7834575204532684,1.1864934395133626,0.04196793065685213,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,60.0,0.7770858727502484,1.1768440099001911,0.055030029803967984,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,180.0,0.7396646561581158,1.120172107689735,0.09006017657651724,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
seconds,600.0,0.7410447103525711,1.122262106451821,0.1563756419182089,8347,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.0,0.4236976488783727,0.6415665707413405,0.02132085048049269,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.0833333333333333,0.7277088354438928,1.1019028859136628,0.024242487006887727,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.1666666666666667,0.7381961804617642,1.117782912619283,0.024782296642965957,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.25,0.7532860615452662,1.1406321384416718,0.025448405117346355,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.3333333333333333,0.7588521459168434,1.1490603505693127,0.026005020840511144,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.4166666666666665,0.7642766414544392,1.1572741676845832,0.026618957824477044,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.5,0.7661874535321918,1.160167535526723,0.02736309541226709,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.5833333333333333,0.7699262458268188,1.165828846505266,0.027908126873700603,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.6666666666666665,0.7697189893484914,1.1655150169892976,0.028560767585709114,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.75,0.7738183545854405,1.1717223105729366,0.029312490326510364,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.8333333333333333,0.7774937811824943,1.1772876726751944,0.029866402231011595,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,1.9166666666666665,0.781518168647789,1.1833814342815625,0.030633970874685792,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.0,0.7887897939051728,1.194392190872839,0.031159593018071037,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.083333333333333,0.7929777832858523,1.2007336798859984,0.03184810590400869,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.1666666666666665,0.7923588247204343,1.1997964475806093,0.03235593427877006,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.25,0.787401553075769,1.192290104843706,0.032795315334735786,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
z,2.333333333333333,0.7858455086828886,1.1899339292366327,0.03314661727432244,8398,8401,normal,aggressive,threshold_wait5s,time_threshold,23,True
