number,value,params_market_maker_asymmetric_liquidity,params_market_maker_flow_response,params_market_maker_flow_signal_decay,params_market_maker_inventory_signal_decay,params_market_maker_inventory_skew,params_market_maker_level_spacing_ticks,params_market_maker_quote_size,params_market_maker_quote_size_sigma,params_market_maker_refresh_seconds,params_market_maker_spread_sensitivity,params_market_order_arrival_rate,params_order_flow_burst_interval_seconds,params_order_flow_burst_probability,params_reference_price_volatility,params_sign_regime_switch_probability,params_trade_sign_persistence,params_trade_size_median,params_trade_size_sigma,user_attrs_loss_std,user_attrs_metric_distances,user_attrs_seed_losses,state
32,18.922073516164296,1.2283213357075424,1.177434388486423,0.05507983172543727,0.19359422550038324,0.010374104824552281,5.0,0.08495186798382191,0.8719590738983585,0.7272239099595214,0.01478103057922231,0.7365278193650299,0.0029205086984002066,0.3660857033039848,2.0954144658140956,0.05012504971118067,0.8955864217949923,0.0013212084962684104,3.245703062251411,1.7769370496885606,"{'median_spread': 0.0, 'mean_trade_size': 0.27109546259908895, 'trades_per_second': 1.1506710896087615, 'return_volatility': 0.5581045249897817, 'spread_distribution': 1.079874491600696, 'relative_spread_distribution': 1.078625625503658, 'trade_size_distribution': 0.16530078190636727, 'interarrival_distribution': 0.7076973896820987, 'bid_depth_distribution': 0.3749334319643747, 'ask_depth_distribution': 0.48746702718922846, 'sign_acf_curve': 0.25133892283114206, 'response_curve': 1.2578167364586788, 'clock_response_curve': 1.0960769401972221, 'size_impact_curve': 1.8497315495864566, 'flow_impact_curve': 1.5495031948982347}","[18.45609411354541, 16.87014561691305, 21.17344026058115]",COMPLETE
33,18.889957050415102,1.247181566442992,0.7448188948478508,0.050609550339679024,0.13597374095240777,0.0102551547975103,5.0,0.0833033705259459,0.9512644647872175,0.7790440973463949,0.02628108006078171,0.7399235108404731,0.0022580694148490016,0.3274744874960192,2.0083816656215983,0.06253008670018784,0.8832889186572281,0.0011974265551704657,3.328583261670617,2.030428085261071,"{'median_spread': 0.0, 'mean_trade_size': 0.27068728409798853, 'trades_per_second': 1.223828507104946, 'return_volatility': 0.5845184937748801, 'spread_distribution': 1.0739898997640978, 'relative_spread_distribution': 1.0727630081508952, 'trade_size_distribution': 0.31037987563281283, 'interarrival_distribution': 0.7286510187703618, 'bid_depth_distribution': 0.4510331640909417, 'ask_depth_distribution': 0.4828446212520527, 'sign_acf_curve': 0.2530532954187101, 'response_curve': 1.1659302604266895, 'clock_response_curve': 1.0619552898759341, 'size_impact_curve': 1.7699834881697807, 'flow_impact_curve': 1.4435469084861399}","[16.05158965834284, 20.909329797899193, 19.404387482214112]",COMPLETE
34,20.02944950773834,1.2745219097658214,0.5212768683195963,0.11066312928179153,0.11958126772102042,0.011167979753208296,5.0,0.08521990706150037,1.0305300013380465,0.797625768770891,0.029530808491080206,0.6676885471121365,0.001051855099557857,0.25251251090762866,2.1064845173000846,0.0765173230365308,0.8656153615655031,0.0009794896483168217,3.189058940272486,0.92667019767258,"{'median_spread': 0.0, 'mean_trade_size': 0.08408493735241358, 'trades_per_second': 0.8304979151074751, 'return_volatility': 0.5690784901331735, 'spread_distribution': 1.0785790166944655, 'relative_spread_distribution': 1.0773439604240367, 'trade_size_distribution': 0.36796712928257874, 'interarrival_distribution': 0.6892334885613839, 'bid_depth_distribution': 0.7725784772537772, 'ask_depth_distribution': 0.8078577690017067, 'sign_acf_curve': 0.2751762252653214, 'response_curve': 1.5932297229647439, 'clock_response_curve': 1.1190762964614758, 'size_impact_curve': 1.2223082025715042, 'flow_impact_curve': 1.9931938498774933}","[20.17380334346237, 21.01062816399489, 18.764916486106888]",COMPLETE
35,19.487458026168753,1.2366262063844415,0.5823905247978374,0.10248387737857098,0.1257567824707511,0.010245800705379157,5.0,0.08277730303857936,1.0952634985728926,0.7965749676253749,0.03584001237707064,0.6719265953832078,0.002035232127192204,0.2727021714339823,2.006719323957918,0.0735856469370376,0.8616216562005002,0.0010818234484422683,3.2074280265459665,1.0772113875317362,"{'median_spread': 0.0, 'mean_trade_size': 0.06209850337986739, 'trades_per_second': 0.865094315511882, 'return_volatility': 0.5923046374223802, 'spread_distribution': 1.0786788435276198, 'relative_spread_distribution': 1.0774472470988592, 'trade_size_distribution': 0.35835694448703087, 'interarrival_distribution': 0.6936448359794071, 'bid_depth_distribution': 0.7669719560839465, 'ask_depth_distribution': 0.7627864710270815, 'sign_acf_curve': 0.25046096313444827, 'response_curve': 1.541086363731486, 'clock_response_curve': 1.0566064385989224, 'size_impact_curve': 1.5065339137611187, 'flow_impact_curve': 1.6246018051557376}","[18.101406176793603, 20.739635559255, 19.4597506343279]",COMPLETE
36,19.123816468829588,1.2961503164049823,0.4909485133107475,0.13813886143982407,0.0888843568961344,0.010786649215942263,4.0,0.08395291606324475,1.1417832654356546,0.7935950989785547,0.050134508377518504,0.6267631084418827,0.0016559300999955176,0.22617869706292654,2.0000353678519605,0.08844267181471926,0.8404102412657283,0.0009368477222267739,2.9918219863791005,0.42329386238685135,"{'median_spread': 0.0, 'mean_trade_size': 0.2614310727107226, 'trades_per_second': 0.6718946134015072, 'return_volatility': 0.5883193774949845, 'spread_distribution': 1.0785790166944655, 'relative_spread_distribution': 1.077366875335665, 'trade_size_distribution': 0.5673510147907144, 'interarrival_distribution': 0.675596089108251, 'bid_depth_distribution': 0.8947971129924296, 'ask_depth_distribution': 0.9176935089213566, 'sign_acf_curve': 0.3919390106656702, 'response_curve': 1.1915629082134858, 'clock_response_curve': 1.0899434533775612, 'size_impact_curve': 1.484820351262412, 'flow_impact_curve': 1.5173491157230738}","[19.354605898933414, 19.446946848872454, 18.506402579324867]",COMPLETE
37,20.08617083128544,1.467161243738694,0.4416437971415346,0.14971307633808165,0.0566819739372468,0.010007579051787195,4.0,0.12702610559746352,1.2495028161905837,0.7822175374738823,0.04785042992841877,0.6052706210935197,0.0010208585107930942,0.22055548334024258,2.0059878932483444,0.0956256361794741,0.8220366240231436,0.0008318373579346946,2.798500709561662,3.3163125877425075,"{'median_spread': 0.0, 'mean_trade_size': 0.21615181326287178, 'trades_per_second': 0.519884877501064, 'return_volatility': 0.5923387258212818, 'spread_distribution': 1.0811699665069263, 'relative_spread_distribution': 1.0798869280913515, 'trade_size_distribution': 0.44481720388091794, 'interarrival_distribution': 0.641700376223824, 'bid_depth_distribution': 0.7255149200314227, 'ask_depth_distribution': 0.6870523315610172, 'sign_acf_curve': 0.5426341700425162, 'response_curve': 1.331636502895979, 'clock_response_curve': 1.0639187752697863, 'size_impact_curve': 2.033308405128787, 'flow_impact_curve': 1.9438996727021969}","[19.725322537094414, 24.07599492623572, 15.959748142364807]",COMPLETE
38,19.435498156124368,1.047280645263789,0.4741583691408783,0.13428409955167012,0.09032485736403961,0.023902379046166856,3.0,0.0802729289660018,1.126159931676589,0.7727577162647294,0.05879718241390512,0.33162995164815484,0.001696522356360363,0.22213448890995546,2.047337022038841,0.08731497825597657,0.8366576980669699,0.0008722363719930798,2.9715275893845043,1.464931277701853,"{'median_spread': 0.0, 'mean_trade_size': 0.25835105765984695, 'trades_per_second': 0.15696915974358733, 'return_volatility': 0.5879749675792101, 'spread_distribution': 1.0811699665069263, 'relative_spread_distribution': 1.0798649543491814, 'trade_size_distribution': 0.5230580650414268, 'interarrival_distribution': 0.2778448965888514, 'bid_depth_distribution': 1.0445941842942064, 'ask_depth_distribution': 1.0425977890432174, 'sign_acf_curve': 0.34633081798653625, 'response_curve': 1.2960817964339406, 'clock_response_curve': 1.0256196892657705, 'size_impact_curve': 2.895023381858819, 'flow_impact_curve': 1.6654130487528527}","[21.00595047068638, 19.632522096212245, 17.4482822098192]",COMPLETE
39,22.14735972768641,1.2905689915957594,0.5180693591778435,0.12428166668707216,0.06057524124283247,0.010235136801175337,4.0,0.13092038912338008,1.0623338674445517,0.7928386636962819,0.05023383351005338,0.6380504356702414,0.0018017326388685521,0.21673582861507806,2.0124122067773706,0.09165825248039977,0.7772852830848751,0.0009899697506714567,2.947387677756244,1.4875725641115576,"{'median_spread': 0.0, 'mean_trade_size': 0.22434272965999322, 'trades_per_second': 0.6542090879537344, 'return_volatility': 0.5921486060484352, 'spread_distribution': 1.0785790166944655, 'relative_spread_distribution': 1.0773656978607358, 'trade_size_distribution': 0.5228458961480417, 'interarrival_distribution': 0.6866593855439403, 'bid_depth_distribution': 0.7712571067071888, 'ask_depth_distribution': 0.8535059669398782, 'sign_acf_curve': 0.5650376574070354, 'response_curve': 1.5375257136413811, 'clock_response_curve': 1.1073143197934325, 'size_impact_curve': 1.8910933273874757, 'flow_impact_curve': 2.5992273276760973}","[23.713295195555183, 20.112063143141224, 22.393584959746086]",COMPLETE
40,24.304913781223426,0.9785046233686179,0.612226862814539,0.11344917302962768,0.10276243411668025,0.026514508817416748,4.0,0.08097316741164308,1.279118228731708,0.6234318334669188,0.03644182462711611,0.4190295047827736,0.001017807798033666,0.3107463589660617,2.958368196497121,0.07297845251915644,0.8394806935881046,0.0008261596787976003,2.74585645548695,1.901112596340322,"{'median_spread': 0.0, 'mean_trade_size': 0.5059574379811187, 'trades_per_second': 0.051773471670310066, 'return_volatility': 0.4008382030990976, 'spread_distribution': 1.0824654414131567, 'relative_spread_distribution': 1.0811867372369692, 'trade_size_distribution': 0.7074711557860883, 'interarrival_distribution': 0.34551556385357246, 'bid_depth_distribution': 0.9592629847482983, 'ask_depth_distribution': 1.0082736614883976, 'sign_acf_curve': 0.33629734213201806, 'response_curve': 1.503212003394608, 'clock_response_curve': 0.9877713856174153, 'size_impact_curve': 3.639246532608823, 'flow_impact_curve': 4.1070320820549}","[23.301385942769237, 26.855521265813675, 22.47266724563633]",COMPLETE
41,20.914500830232587,1.045699198363923,0.3172902578262276,0.2889326665060356,0.09639739557416079,0.027599148283965206,3.0,0.08287108073352203,1.0735116978050363,0.7988642961786414,0.08707638972108298,0.33071380499943076,0.002022966956597839,0.18323079091942174,2.010099906308157,0.09485295116642965,0.8289166378735571,0.0008341687584486855,2.9282502749291783,1.959226468218809,"{'median_spread': 0.0, 'mean_trade_size': 0.4355323790070343, 'trades_per_second': 0.12872283870716963, 'return_volatility': 0.5936644238360356, 'spread_distribution': 1.0824654414131567, 'relative_spread_distribution': 1.0811078369057754, 'trade_size_distribution': 0.6758929956530135, 'interarrival_distribution': 0.29545380536980337, 'bid_depth_distribution': 1.055212938320078, 'ask_depth_distribution': 1.0905146412810354, 'sign_acf_curve': 0.4703739481962066, 'response_curve': 1.5475689794713015, 'clock_response_curve': 1.037117644264426, 'size_impact_curve': 2.5840514302541275, 'flow_impact_curve': 1.9442141666167612}","[18.881153918790837, 23.50137076347939, 20.067093838194705]",COMPLETE
42,21.854100784168047,1.1832782726938829,0.5217511682058918,0.11617862187110536,0.10263657338662112,0.021414849048536858,3.0,0.08356062395946437,1.067282910366766,0.7952763678040128,0.058600003746234544,0.3197824700666406,0.0019201063378263001,0.2176459349618141,2.0220892191739623,0.08765398287932569,0.8271592759159097,0.0009544196289929445,3.0004979971514336,0.32824487614070536,"{'median_spread': 0.0, 'mean_trade_size': 0.3288215649742711, 'trades_per_second': 0.13420893226376268, 'return_volatility': 0.5895070999982744, 'spread_distribution': 1.0798744916006962, 'relative_spread_distribution': 1.0786473741967522, 'trade_size_distribution': 0.6553535554716172, 'interarrival_distribution': 0.23618362956333785, 'bid_depth_distribution': 1.0076069197669972, 'ask_depth_distribution': 1.053012781638883, 'sign_acf_curve': 0.39665320317363123, 'response_curve': 1.3322887518172652, 'clock_response_curve': 1.095199295018194, 'size_impact_curve': 3.4293412660221634, 'flow_impact_curve': 2.6507323217042473}","[22.276799440119053, 21.487736536255266, 21.748529644708718]",COMPLETE
43,21.97566031215557,0.9717114179911275,0.5589666777127716,0.12204583925169295,0.10155086775203764,0.01257017634766604,3.0,0.08480790477359602,0.9889007614240669,0.7996590568396788,0.031589771470703513,0.3707961137631859,0.0017735701904770201,0.26570082043692117,2.0953770739667807,0.09529231271139106,0.8400529167451655,0.0010898841848543807,3.040814621227018,2.9389879092210025,"{'median_spread': 0.0, 'mean_trade_size': 0.14758019860229293, 'trades_per_second': 0.03329295839157224, 'return_volatility': 0.5777385958059028, 'spread_distribution': 1.0824654414131567, 'relative_spread_distribution': 1.0811032859586336, 'trade_size_distribution': 0.5886851179202598, 'interarrival_distribution': 0.28333727862298114, 'bid_depth_distribution': 1.0298396919465338, 'ask_depth_distribution': 1.077662718350507, 'sign_acf_curve': 0.3373061665267034, 'response_curve': 2.502211729815928, 'clock_response_curve': 1.146676152730633, 'size_impact_curve': 2.3490821996045725, 'flow_impact_curve': 1.6758603806962082}","[19.20184635062701, 20.35266980686806, 25.93161659258849]",COMPLETE
44,23.52409227400591,1.2717551126236086,0.27783147547092807,0.11267622547248801,0.09449486425025741,0.026129170378511084,3.0,0.08054757999074842,1.335616240416,0.6325962856089269,0.08045966934226938,0.2550360346197889,0.0018317827186684983,0.1788875842684259,2.0566610175491533,0.07453997097827399,0.8454697715941484,0.0007347960478011846,2.989202398253266,1.2654525466583537,"{'median_spread': 0.0, 'mean_trade_size': 0.3425248495282853, 'trades_per_second': 0.3677376328565707, 'return_volatility': 0.5820437678708165, 'spread_distribution': 1.0785790166944655, 'relative_spread_distribution': 1.0773365731148157, 'trade_size_distribution': 0.5809182608736301, 'interarrival_distribution': 0.28599488381511634, 'bid_depth_distribution': 0.942261808662078, 'ask_depth_distribution': 0.9522995441841803, 'sign_acf_curve': 0.3084147012429707, 'response_curve': 2.086446193206673, 'clock_response_curve': 1.096822173093489, 'size_impact_curve': 3.169472435763334, 'flow_impact_curve': 2.5895110238595183}","[22.470315763383223, 22.66524558739556, 25.246897589240184]",COMPLETE
45,25.461132552338373,1.2266704247783131,0.723586381218391,0.10070508148580669,0.06138179851579087,0.010585152572287091,3.0,0.49421813665486575,0.9819647212354924,0.6316321516408869,0.02580254948449583,0.35725653915400124,0.0016697097992379552,0.30270127009724335,2.8648449020530142,0.07296606347915319,0.7968049709155839,0.0011042630973641609,2.7184506772252393,0.8724012757356889,"{'median_spread': 0.0, 'mean_trade_size': 0.17097965893990538, 'trades_per_second': 0.185903682450372, 'return_volatility': 0.4148660693973791, 'spread_distribution': 1.091839901909681, 'relative_spread_distribution': 1.0904478025115598, 'trade_size_distribution': 0.31591405697870123, 'interarrival_distribution': 0.249570607523493, 'bid_depth_distribution': 0.24818936343772102, 'ask_depth_distribution': 0.3291292092960218, 'sign_acf_curve': 0.5314734383359925, 'response_curve': 2.67260141083278, 'clock_response_curve': 1.2013829838966974, 'size_impact_curve': 5.064477482852033, 'flow_impact_curve': 2.894039553598367}","[26.398392656914258, 24.278973993368883, 25.575170815371628]",COMPLETE
46,19.170316673047566,0.9374854520666125,0.8349488519856865,0.27043783820821693,0.12706479298412957,0.029471772415139316,4.0,0.12502712325093074,1.2839538822604675,0.7873846485143285,0.029140611677563273,0.44978346128834956,0.0018312603990737143,0.3027542261975871,2.0162532794557624,0.09688309712791393,0.8555314450977015,0.0007662377224083704,3.102183077730576,2.399117389360181,"{'median_spread': 0.0, 'mean_trade_size': 0.09583529820142482, 'trades_per_second': 0.17122344448576535, 'return_volatility': 0.5902871021469125, 'spread_distribution': 1.0824654414131567, 'relative_spread_distribution': 1.0811414765632816, 'trade_size_distribution': 0.25507271171953333, 'interarrival_distribution': 0.4201954910342565, 'bid_depth_distribution': 0.829561866468466, 'ask_depth_distribution': 0.8388285371471417, 'sign_acf_curve': 0.35956145774647186, 'response_curve': 1.9084236652338173, 'clock_response_curve': 1.1200699706829418, 'size_impact_curve': 1.7594607561487308, 'flow_impact_curve': 1.539666746638832}","[17.961005812276916, 22.377775377915935, 16.812301220545827]",COMPLETE
47,22.65078037380862,0.8020488835279049,0.9837723215687545,0.4174811826380154,0.16046146002256395,0.053906539296934744,4.0,0.15240635480044146,1.4150575936534127,0.6254147428080152,0.017293106368579423,0.4544860385386131,0.0020713938730147707,0.3362700635269945,2.8473186274056133,0.10878928652023305,0.8683142929512376,0.0007770883976043901,3.193357194439704,3.127624704156771,"{'median_spread': 0.0, 'mean_trade_size': 0.13886205897842663, 'trades_per_second': 0.13814566370885217, 'return_volatility': 0.41835125905242476, 'spread_distribution': 1.0965978293740073, 'relative_spread_distribution': 1.0951631723313253, 'trade_size_distribution': 0.20050791197520565, 'interarrival_distribution': 0.38555653722658995, 'bid_depth_distribution': 0.6107306130317259, 'ask_depth_distribution': 0.6927706934169481, 'sign_acf_curve': 0.3591053731044503, 'response_curve': 2.2081493982461904, 'clock_response_curve': 1.1099963930348757, 'size_impact_curve': 3.5182111265072256, 'flow_impact_curve': 2.669315931929298}","[26.763341397598328, 19.357354606758683, 21.36250141144532]",COMPLETE
