number,value,params_large_order_multiplier,params_large_order_pareto,params_large_order_probability,params_market_maker_asymmetric_liquidity,params_market_maker_flow_response,params_market_maker_flow_signal_decay,params_market_maker_inventory_signal_decay,params_market_maker_inventory_skew,params_market_maker_level_spacing_ticks,params_market_maker_queue_imbalance_response,params_market_maker_quote_size,params_market_maker_quote_size_sigma,params_market_maker_refresh_seconds,params_market_maker_spread_sensitivity,params_market_order_arrival_rate,params_order_flow_burst_interval_seconds,params_order_flow_burst_probability,params_order_flow_hawkes_branching,params_order_flow_hawkes_decay,params_order_flow_long_memory_exponent,params_order_flow_long_memory_probability,params_reference_price_volatility,params_sign_regime_switch_probability,params_trade_sign_persistence,params_trade_size_median,params_trade_size_sigma,user_attrs_loss_std,user_attrs_metric_distances,user_attrs_seed_losses,state
13,4.119713765156851,10.287281616226226,2.364517088326015,0.025154418794191703,0.4740706657617426,0.08654887040873835,0.13272427221746813,0.11145161673666996,0.6087074485299664,4.0,-0.09349082642789108,0.9190494952616021,0.5805388379246761,0.21773897819409205,1.5377667459940445,0.684529193152835,0.0011969232494597384,0.3907970068656538,0.825789009400314,0.0014622439746531286,0.3184511407845421,0.7738745978517445,19.07855212102813,0.05478691422015985,0.9205381286895766,0.0010648086231945697,2.757580050802012,0.0,"{'arrival_clustering': 1.2219435212102094, 'trade_size_tail_p99_to_median': 0.31678618809980585, 'trade_size_tail_top_1pct_volume_share': 0.10641934954816068, 'spread_one_tick_share': 0.5609430335826193, 'ofi_slope': 1.5530711019754617, 'ofi_r2': 0.1462648591334506, 'response_monotone_fraction': 0.0, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.119713765156851],COMPLETE
14,,134.71434359491906,2.4128572424726,0.022553138971876212,0.16227574715046145,0.7557115040384799,1.9257491509214617,1.0374135470118306,0.04491111034982918,1.0,-1.8869184285700027,0.9351430576341054,1.6622719019560825,0.3113884184067011,0.19476289730106625,0.33285696237305873,0.04126437413209721,0.20459647457609764,0.6482772991174675,0.003241882774829326,0.5903634311915973,0.9455085182006042,16.394204236924757,0.10861395777427865,0.7988613047689984,0.001779297548969892,2.164891964805818,,,,PRUNED
15,4.476280800452871,16.849896392899485,1.1015084094228853,0.007181664007204429,1.1282157141397555,2.7460865732719584,0.05456309440596474,0.05001333602236039,0.010196835753670553,3.0,-0.19581396985375724,1.4572255000197756,1.1953292849891517,0.7754150187406459,0.00011635694526357788,0.39264776420411845,0.08514639653935621,0.24081720052920905,0.47662858284329834,1.298550950475661,0.8893627561459152,0.9738089606136937,4.746728408402049,0.09663140865891709,0.7300628546012793,0.0027589714572503043,2.0277021016079457,0.0,"{'arrival_clustering': 1.1605190411950186, 'trade_size_tail_p99_to_median': 0.9213191307389372, 'trade_size_tail_top_1pct_volume_share': 0.4238411681477158, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 0.820292467363106, 'ofi_r2': 0.4471474092363297, 'response_monotone_fraction': 0.46428570848214296, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.476280800452871],COMPLETE
16,,24.56655462118962,1.081492620056287,0.009464623916612964,0.38523019836409084,1.6745863831543808,0.05338968595908582,0.3402071846989756,0.028822201483889007,5.0,-0.47352617437590094,1.4663087922586444,1.2362768537911935,0.39710760821869734,0.013068787628678687,0.2563036143536625,0.0010069453033567939,0.22284527024457385,0.7116440568015101,0.25059185725162647,0.9028962605116552,0.7700396802378726,2.011971584718592,0.13395105612378197,0.9469017687298676,0.001492979230000866,2.3430509442305634,,,,PRUNED
17,4.693692253799414,22.788081161566627,2.973989354036073,0.004243642718296045,0.9655530417317666,2.1184219935289255,0.05071678306221282,0.05400989152368047,0.12712581531990866,3.0,-1.7673036943879212,0.18285461240648815,1.2669010601805437,0.26107845321173606,0.00013805026008817292,0.4293357010795895,0.018938600693634237,0.6968560584859101,0.5369961721922406,0.023689168100302815,0.9426633803944608,0.8587796415780029,5.613488267133449,0.08363720596206704,0.7884074292983945,0.002974766287803289,3.0128898984124053,0.0,"{'arrival_clustering': 1.2744484124999644, 'trade_size_tail_p99_to_median': 0.7712776646356587, 'trade_size_tail_top_1pct_volume_share': 0.44176295841498786, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 0.7151080248846976, 'ofi_r2': 0.41869778707627947, 'sign_memory_exponent': 0.762092960462491, 'response_monotone_fraction': 0.07142857053571418, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.693692253799414],COMPLETE
18,6.094765898510199,83.45304705840122,1.3525334902416533,0.01132793735473617,0.4719301250287467,2.8665804789366796,0.18881072415641756,2.574797677997889,0.02863698724715014,5.0,0.3092009306982213,0.15466056876460763,1.335088127519275,0.49318019339315405,0.01881127709442952,0.44781211283049405,0.0039972671062165925,0.052880694326840186,0.7249710874343058,0.30211316610716465,0.9408031020603844,0.9659173201854886,3.949171464274062,0.08495441917143949,0.7286091734583471,0.0013407319761346193,2.36157969003559,0.0,"{'arrival_clustering': 1.1119756993673167, 'trade_size_tail_p99_to_median': 0.7397986668236605, 'trade_size_tail_top_1pct_volume_share': 0.33159745441032146, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 0.735204844812205, 'ofi_r2': 0.9457616548203469, 'sign_memory_exponent': 1.1701231418260138, 'response_monotone_fraction': 0.8214285611607145, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[6.094765898510199],COMPLETE
19,,10.67658028021812,2.146685431533414,0.012874999598871908,0.42940413603777466,1.397797520933254,0.9296202462291587,0.31411085656193266,0.010003509562422278,3.0,-0.821667794903168,0.5908777759256025,1.0134416404538302,0.3143900585498512,2.765450714416316,0.3491812939460719,0.013774677345599116,0.3143643197936138,0.7338482513782062,1.3130688043355656,0.4204173975592617,0.6926014935146507,4.334311363979014,0.1221226344769355,0.8056411347998985,0.001561946975121972,2.036738711302094,,,,PRUNED
20,6.002682999642261,29.47376760892767,1.3565305499851017,0.002331131652208841,1.0894873136528291,3.356410005674351,0.16548500368415753,0.10482222774117858,0.09199738855582461,5.0,-1.0959284619437406,1.4230530815074829,1.3821870708091784,0.6450667881911897,0.00039892641929997915,0.4645427551297717,0.0029806527280644406,0.19054419803154504,0.5755036753059916,0.021556609877353156,0.7399853510497747,0.8290666376348949,6.984318224837001,0.0603806064075422,0.9410586220443455,0.001984972792116365,3.0560552474786413,0.0,"{'arrival_clustering': 1.2727971294350926, 'trade_size_tail_p99_to_median': 1.0448399549610377, 'trade_size_tail_top_1pct_volume_share': 0.1307141318435894, 'spread_one_tick_share': 0.024590163682477854, 'ofi_slope': 1.0047776162583766, 'ofi_r2': 0.996017811305539, 'sign_memory_exponent': 1.028946198406147, 'response_monotone_fraction': 0.28571428214285727, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[6.002682999642261],COMPLETE
21,4.717892879244305,16.11557670306537,1.6171642460250581,0.014858019711275249,0.7151374606036194,9.679031195136778,4.625005142156508,0.6098584389875458,0.04020059787565685,4.0,-1.0136067090510887,0.5870035979786874,1.7876510899209779,0.10815833419166014,0.26777355554227883,0.5666019016159276,0.004386990493545256,0.15138198567040934,0.6353597232606655,0.20590173104970558,0.2897425600820672,0.6047931791048717,10.41134702397633,0.04846413726145085,0.8506459351290813,0.0015220285832717368,2.8487240961017126,0.0,"{'arrival_clustering': 1.2678767191933873, 'trade_size_tail_p99_to_median': 0.18955835672386462, 'trade_size_tail_top_1pct_volume_share': 0.19532431404544923, 'spread_one_tick_share': 0.00556839262913122, 'ofi_slope': 0.9449826425832237, 'ofi_r2': 0.8612105078904778, 'sign_memory_exponent': 0.5748005260894855, 'response_monotone_fraction': 0.46428570848214296, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.717892879244305],COMPLETE
22,5.3711799016331465,16.34300317758798,1.8471505756251447,0.015501317726498393,0.7068440476505455,9.853435862833784,4.586319666835058,0.5760885858511884,0.04686639866417422,4.0,-1.1935829468215662,0.8391166644110027,1.7880539460157325,0.103252383503583,0.3144569106709002,0.5361757586868644,0.003109033250308823,0.15693016972407295,0.6115699325470693,0.17897580243230357,0.2702188113665222,0.5662832624308812,2.0518095389710664,0.03181420281459579,0.8428029339035628,0.0015279361623915628,2.3987276543289675,0.0,"{'arrival_clustering': 1.1699205002492719, 'trade_size_tail_p99_to_median': 0.6139594691108022, 'trade_size_tail_top_1pct_volume_share': 0.48965484543427795, 'spread_one_tick_share': 0.01207366318454312, 'ofi_slope': 0.9691903666385131, 'ofi_r2': 0.6071805439241381, 'sign_memory_exponent': 1.0092005193415998, 'response_monotone_fraction': 0.28571428214285727, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[5.3711799016331465],COMPLETE
23,6.0649010753158645,11.995443673207724,1.4318436135197805,0.011812462713869019,0.6713924647320412,3.670190016962743,1.3112960761574932,0.323517043236661,0.03697730634258558,4.0,-0.43195120642010654,0.5556182168434035,1.4426795619032464,0.17113037179645343,2.7813472151223055,0.6029966072362,0.008308230276894183,0.05423357451489498,0.7108105003885399,0.19391613239028613,0.27647150161158895,0.9767895516084331,22.65587238373552,0.04814520514106074,0.872414934516213,0.0004021393540362282,3.023075989627817,0.0,"{'arrival_clustering': 1.2489270964108985, 'trade_size_tail_p99_to_median': 3.2775874269064253, 'trade_size_tail_top_1pct_volume_share': 0.24760575178053745, 'spread_one_tick_share': 0.2205284957795374, 'ofi_slope': 0.04365837023381321, 'ofi_r2': 0.5623082257225095, 'response_monotone_fraction': 0.24999999687499996, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[6.0649010753158645],COMPLETE
24,4.749044234125823,21.27059236006272,2.0457569780024163,0.016355815419447226,0.46348228025507165,4.401979715682752,0.05484880973176912,0.9611308991710992,0.028749715548230637,5.0,-1.4116159642122388,1.4364428576919568,1.4128959886258747,0.10339335488002158,0.40847097172203845,0.5391634043498814,0.001999180380312066,0.1801661331954723,0.49832638086006975,0.11296530855688278,0.39602327627348555,0.8330664702609017,3.275627322021119,0.0740350834370996,0.7756155655089537,0.0019562896010182403,2.928545305087098,0.0,"{'arrival_clustering': 1.1278180812897076, 'trade_size_tail_p99_to_median': 0.27266978820929594, 'trade_size_tail_top_1pct_volume_share': 0.4573631218109484, 'spread_one_tick_share': 0.8974350553732144, 'ofi_slope': 0.9193033473332738, 'ofi_r2': 0.05953806105103854, 'sign_memory_exponent': 0.729202496915487, 'response_monotone_fraction': 0.07142857053571418, 'depth_shape_bid': 0.10714285580357147, 'depth_shape_ask': 0.10714285580357147}",[4.749044234125823],COMPLETE
